number,hex,name
085 70 60,C2AB3D,Pitmaston pear yellow
085 70 70,C6A931,Immortelle yellow
085 70 75,CAAB1F,Golden beryl yellow
085 80 10,CBC6B1,Velvet beige
085 80 20,D1C7A1,Mineral beige
085 80 30,D8C88E,Moonlight yellow
085 80 40,DBC87D,Table pear yellow
085 80 50,DEC76B,Fruit yellow
085 80 60,E1C658,Adonis rose yellow
085 80 70,E5C645,Barberry yellow
085 80 80,E6C52E,Dandelion yellow
085 80 85,E6C526,Decor yellow
085 85 10,D9D2BC,Alabaster white
085 85 20,DFD3AB,Light blond
085 85 30,E5D39A,Willow-flower yellow
085 85 40,EBD58B,Light ginger yellow
085 90 10,EEE7D1,Tulip white
085 90 20,F1E4BB,Alpine berry yellow
085 90 30,F4E2A9,China clay yellow
085 93 05,F1EEE2,Vintage white
090 30 10,4A4738,Limonite brown
090 30 20,4D4829,Bark green
090 40 10,635F51,Boulder brown
090 40 20,655E3F,Plum green
090 40 30,696033,Vine leaf green
090 50 10,797667,Graphite grey green
090 50 20,7D7657,Pesto green
090 50 30,827846,Giant cactus green
090 50 40,837838,Aubergine green
090 60 10,928E7F,Oyster grey
090 60 20,988F6D,Manzanilla olive
090 60 30,9B9060,Camouflage olive
090 60 40,9D904E,Laurel green
090 60 50,9C8F3A,Faint green
090 60 60,A2942C,Titanite yellow
090 70 10,AEAA98,Dusty yellow
090 70 20,B2AA85,Barbados beige
090 70 30,B5A976,Rhubarb leaf green
090 70 40,BBAD65,Hedgehog cactus yellow green
090 70 50,BDAD55,Gooseberry yellow
090 70 60,BEAE41,Bud green
090 70 70,C0AF29,Catkin yellow
090 70 80,C0AE10,Prehnite yellow
090 80 10,CBC5B0,Light beige
090 80 20,CEC4A0,Champagne beige
090 80 30,D5C892,Lemon sorbet yellow
090 80 40,D8CA82,Blossom yellow
090 80 50,DCCA6B,Tasman honey yellow
090 80 60,DCC956,New yellow
090 80 70,E0CC49,Fashion yellow
090 80 80,DECA28,Poster yellow
090 80 90,E3CD07,Contrasting yellow
090 85 05,D6D2C7,Pepper white
